"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-06-06T23:50:31.250+01:00[Europe/London]","0.0","3.67"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-06-06T23:50:34.946+01:00[Europe/London]","0.0","0.77"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-06-06T23:50:35.720+01:00[Europe/London]","0.0","0.75"
"Users CRUD test","This will create new user","SUCCESS","2023-06-06T23:50:37.625+01:00[Europe/London]","0.0","1.38"
"Users CRUD test","Verify that user is added ","SUCCESS","2023-06-06T23:50:39.007+01:00[Europe/London]","0.0","0.83"
"Users CRUD test","Update the user information and verify the updated information","SUCCESS","2023-06-06T23:50:39.833+01:00[Europe/London]","0.0","0.88"
"Users CRUD test","Deleting user information with ID and verify that user is deleted ","SUCCESS","2023-06-06T23:50:40.715+01:00[Europe/London]","0.0","1.55"
